Name,SD7003-085-88
Chord(mm),10
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
10.000000,0.000000
9.968100,0.003100
9.874500,0.013200
9.723500,0.031000
9.519300,0.054700
9.263900,0.082400
8.960000,0.113900
8.611200,0.149400
8.222400,0.188400
7.798500,0.230400
7.344900,0.274400
6.867300,0.319700
6.371700,0.364900
5.864100,0.408600
5.349900,0.449400
4.835000,0.485900
4.324900,0.517100
3.825000,0.541500
3.340500,0.558100
2.876000,0.565800
2.435800,0.563900
2.024000,0.551800
1.644200,0.529200
1.299300,0.496100
0.992100,0.452600
0.724400,0.399300
0.497800,0.337200
0.313000,0.267700
0.170200,0.193200
0.069700,0.117200
0.012700,0.043800
0.002500,-0.018600
0.045700,-0.074100
0.140800,-0.128500
0.283900,-0.175900
0.476300,-0.214100
0.718200,-0.243800
1.007300,-0.266000
1.340700,-0.280900
1.715000,-0.288800
2.126800,-0.290000
2.571900,-0.285200
3.045600,-0.275200
3.542600,-0.260800
4.057200,-0.242800
4.583700,-0.221700
5.116100,-0.198000
5.648400,-0.172300
6.174800,-0.145000
6.689800,-0.116700
7.188300,-0.088700
7.664400,-0.062800
8.111800,-0.040300
8.524100,-0.022000
8.895700,-0.008200
9.221000,0.000800
9.495200,0.005200
9.713400,0.005700
9.871800,0.003700
9.967900,0.001100
10.000100,0.000000
,
Camber line,
X(mm),Y(mm)
0.012700,0.043800
0.069700,0.014686
0.170200,0.027481
0.313000,0.043011
0.497800,0.060230
0.724400,0.077512
0.992100,0.093884
1.299300,0.108525
1.644200,0.120947
2.024000,0.131050
2.435800,0.138616
2.876000,0.143510
3.340500,0.145722
3.825000,0.145289
4.324900,0.142514
4.835000,0.137693
5.349900,0.131344
5.864100,0.123743
6.371700,0.115360
6.867300,0.106485
7.344900,0.097110
7.798500,0.087172
8.222400,0.076504
8.611200,0.065317
8.960000,0.053739
9.263900,0.041944
9.519300,0.029978
9.723500,0.018286
9.874500,0.008413
9.968100,0.002097
10.000000,0.000002
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
10.000000,0.000000
