   ---          E(k,t) [cm3sec-2]
k [cm-1]    t=42        t=98       t=171
 0.15        -           -        4.97E+1
 0.20     1.29E+2     1.06E+2     9.20E+1
 0.25     2.30E+2     1.96E+2     1.20E+2
 0.30     3.22E+2     1.95E+2     1.25E+2
 0.40     4.35E+2     2.02E+2     9.80E+1
 0.50     4.57E+2     1.68E+2     8.15E+1
 0.70     3.80E+2     1.27E+2     6.02E+1
 1.00     2.70E+2     7.92E+1     3.94E+1
 1.50     1.68E+2     4.78E+1     2.41E+1
 2.00     1.20E+2     3.46E+1     1.65E+1
 2.50     8.90E+1     2.86E+1     1.25E+1
 3.00     7.03E+1     2.31E+1     9.12E+0
 4.00     4.70E+1     1.43E+1     5.62E+0
 6.00     2.47E+1     5.95E+0     1.69E+0
 8.00     1.26E+1     2.23E+0     5.20E-1
10.00     7.42E+0     9.00E-1     1.61E-1
12.50     3.96E+0     3.63E-1     5.20E-2
15.00     2.33E+0     1.62E-1     1.41E-2
17.50     1.34E+0     6.60E-2       -
20.00     8.00E-1     3.30E-2       -
